key,ref_events,ref_events_raw,pred_events,onset_matches,drum_matches,onset_precision,onset_recall,onset_f1,drum_precision,drum_recall,drum_f1,class_accuracy_on_matched_onsets,onset_mae_ms,missed,extra,wav,labels,kick->kick,kick->snare,kick->hihat,snare->kick,snare->snare,snare->hihat,hihat->kick,hihat->snare,hihat->hihat
P10_Improvisation_Fixed,50,50,50,49,29,0.98,0.98,0.98,0.58,0.58,0.58,0.5918367346938775,24.526817524043487,21,21,..\..\datasets\AVP_Dataset\AVP_Dataset\Fixed\Participant_10\P10_Improvisation_Fixed.wav,..\..\datasets\AVP_Dataset\AVP_Dataset\Fixed\Participant_10\P10_Improvisation_Fixed.csv,23,0,0,16,0,0,4,0,6
P10_Improvisation_Personal,51,51,55,48,31,0.8727272727272727,0.9411764705882353,0.9056603773584905,0.5636363636363636,0.6078431372549019,0.5849056603773585,0.6458333333333334,29.878117926549454,20,24,..\..\datasets\AVP_Dataset\AVP_Dataset\Personal\Participant_10\P10_Improvisation_Personal.wav,..\..\datasets\AVP_Dataset\AVP_Dataset\Personal\Participant_10\P10_Improvisation_Personal.csv,22,0,0,1,2,12,4,0,7
P11_Improvisation_Fixed,62,62,55,54,29,0.9818181818181818,0.8709677419354839,0.923076923076923,0.5272727272727272,0.46774193548387094,0.4957264957264957,0.5370370370370371,20.277147846727377,33,26,..\..\datasets\AVP_Dataset\AVP_Dataset\Fixed\Participant_11\P11_Improvisation_Fixed.wav,..\..\datasets\AVP_Dataset\AVP_Dataset\Fixed\Participant_11\P11_Improvisation_Fixed.csv,26,0,0,16,0,0,9,0,3
P11_Improvisation_Personal,81,81,82,78,28,0.9512195121951219,0.9629629629629629,0.9570552147239264,0.34146341463414637,0.345679012345679,0.3435582822085889,0.358974358974359,24.593871743634292,53,54,..\..\datasets\AVP_Dataset\AVP_Dataset\Personal\Participant_11\P11_Improvisation_Personal.wav,..\..\datasets\AVP_Dataset\AVP_Dataset\Personal\Participant_11\P11_Improvisation_Personal.csv,28,0,0,21,0,0,29,0,0
P12_Improvisation_Fixed,42,42,51,23,14,0.45098039215686275,0.5476190476190477,0.49462365591397855,0.27450980392156865,0.3333333333333333,0.3010752688172043,0.6086956521739131,29.060435821965445,28,37,..\..\datasets\AVP_Dataset\AVP_Dataset\Fixed\Participant_12\P12_Improvisation_Fixed.wav,..\..\datasets\AVP_Dataset\AVP_Dataset\Fixed\Participant_12\P12_Improvisation_Fixed.csv,4,0,0,6,0,0,3,0,10
P12_Improvisation_Personal,31,31,51,26,18,0.5098039215686274,0.8387096774193549,0.6341463414634145,0.35294117647058826,0.5806451612903226,0.4390243902439025,0.6923076923076923,29.54125252040817,13,33,..\..\datasets\AVP_Dataset\AVP_Dataset\Personal\Participant_12\P12_Improvisation_Personal.wav,..\..\datasets\AVP_Dataset\AVP_Dataset\Personal\Participant_12\P12_Improvisation_Personal.csv,8,0,0,0,0,8,0,0,10
P13_Improvisation_Fixed,85,85,82,71,51,0.8658536585365854,0.8352941176470589,0.8502994011976048,0.6219512195121951,0.6,0.6107784431137725,0.7183098591549296,26.784197228009255,34,31,..\..\datasets\AVP_Dataset\AVP_Dataset\Fixed\Participant_13\P13_Improvisation_Fixed.wav,..\..\datasets\AVP_Dataset\AVP_Dataset\Fixed\Participant_13\P13_Improvisation_Fixed.csv,28,0,0,14,0,2,4,0,23
P13_Improvisation_Personal,34,34,32,32,14,1.0,0.9411764705882353,0.9696969696969697,0.4375,0.4117647058823529,0.42424242424242425,0.4375,20.17857141737544,20,18,..\..\datasets\AVP_Dataset\AVP_Dataset\Personal\Participant_13\P13_Improvisation_Personal.wav,..\..\datasets\AVP_Dataset\AVP_Dataset\Personal\Participant_13\P13_Improvisation_Personal.csv,7,0,0,10,0,1,7,0,7
P14_Improvisation_Fixed,43,43,47,35,24,0.7446808510638298,0.813953488372093,0.7777777777777778,0.5106382978723404,0.5581395348837209,0.5333333333333333,0.6857142857142857,32.881114227136095,19,23,..\..\datasets\AVP_Dataset\AVP_Dataset\Fixed\Participant_14\P14_Improvisation_Fixed.wav,..\..\datasets\AVP_Dataset\AVP_Dataset\Fixed\Participant_14\P14_Improvisation_Fixed.csv,19,0,0,10,0,1,0,0,5
P14_Improvisation_Personal,52,52,53,46,24,0.8679245283018868,0.8846153846153846,0.8761904761904762,0.4528301886792453,0.46153846153846156,0.45714285714285713,0.5217391304347826,15.589076142166935,28,29,..\..\datasets\AVP_Dataset\AVP_Dataset\Personal\Participant_14\P14_Improvisation_Personal.wav,..\..\datasets\AVP_Dataset\AVP_Dataset\Personal\Participant_14\P14_Improvisation_Personal.csv,20,0,0,16,0,0,6,0,4
P15_Improvisation_Fixed,62,62,66,49,35,0.7424242424242424,0.7903225806451613,0.7656250000000001,0.5303030303030303,0.5645161290322581,0.5468750000000001,0.7142857142857143,23.203294965662494,27,31,..\..\datasets\AVP_Dataset\AVP_Dataset\Fixed\Participant_15\P15_Improvisation_Fixed.wav,..\..\datasets\AVP_Dataset\AVP_Dataset\Fixed\Participant_15\P15_Improvisation_Fixed.csv,9,0,0,13,0,0,1,0,26
P15_Improvisation_Personal,27,27,35,23,20,0.6571428571428571,0.8518518518518519,0.7419354838709677,0.5714285714285714,0.7407407407407407,0.6451612903225806,0.8695652173913043,19.852114675835473,7,15,..\..\datasets\AVP_Dataset\AVP_Dataset\Personal\Participant_15\P15_Improvisation_Personal.wav,..\..\datasets\AVP_Dataset\AVP_Dataset\Personal\Participant_15\P15_Improvisation_Personal.csv,5,0,0,0,0,2,1,0,15
P16_Improvisation_Fixed,45,45,42,40,28,0.9523809523809523,0.8888888888888888,0.9195402298850575,0.6666666666666666,0.6222222222222222,0.6436781609195403,0.7,26.358276618275646,17,14,..\..\datasets\AVP_Dataset\AVP_Dataset\Fixed\Participant_16\P16_Improvisation_Fixed.wav,..\..\datasets\AVP_Dataset\AVP_Dataset\Fixed\Participant_16\P16_Improvisation_Fixed.csv,7,0,0,10,0,1,1,0,21
P16_Improvisation_Personal,77,77,56,56,31,1.0,0.7272727272727273,0.8421052631578948,0.5535714285714286,0.4025974025974026,0.46616541353383456,0.5535714285714286,17.110463145894084,46,25,..\..\datasets\AVP_Dataset\AVP_Dataset\Personal\Participant_16\P16_Improvisation_Personal.wav,..\..\datasets\AVP_Dataset\AVP_Dataset\Personal\Participant_16\P16_Improvisation_Personal.csv,17,0,0,17,0,0,7,1,14
P17_Improvisation_Fixed,31,31,26,26,17,1.0,0.8387096774193549,0.9122807017543859,0.6538461538461539,0.5483870967741935,0.5964912280701755,0.6538461538461539,21.294261259986065,14,9,..\..\datasets\AVP_Dataset\AVP_Dataset\Fixed\Participant_17\P17_Improvisation_Fixed.wav,..\..\datasets\AVP_Dataset\AVP_Dataset\Fixed\Participant_17\P17_Improvisation_Fixed.csv,13,0,0,7,0,0,2,0,4
P17_Improvisation_Personal,30,30,29,24,20,0.8275862068965517,0.8,0.8135593220338982,0.6896551724137931,0.6666666666666666,0.6779661016949153,0.8333333333333334,27.350717948412697,10,9,..\..\datasets\AVP_Dataset\AVP_Dataset\Personal\Participant_17\P17_Improvisation_Personal.wav,..\..\datasets\AVP_Dataset\AVP_Dataset\Personal\Participant_17\P17_Improvisation_Personal.csv,16,0,2,0,0,1,1,0,4
P18_Improvisation_Fixed,125,125,129,125,56,0.9689922480620154,1.0,0.9842519685039369,0.43410852713178294,0.448,0.4409448818897637,0.448,23.71337870701179,69,73,..\..\datasets\AVP_Dataset\AVP_Dataset\Fixed\Participant_18\P18_Improvisation_Fixed.wav,..\..\datasets\AVP_Dataset\AVP_Dataset\Fixed\Participant_18\P18_Improvisation_Fixed.csv,34,0,0,22,0,0,47,0,22
P18_Improvisation_Personal,128,128,129,121,55,0.937984496124031,0.9453125,0.9416342412451363,0.4263565891472868,0.4296875,0.4280155642023346,0.45454545454545453,23.88148644506311,73,74,..\..\datasets\AVP_Dataset\AVP_Dataset\Personal\Participant_18\P18_Improvisation_Personal.wav,..\..\datasets\AVP_Dataset\AVP_Dataset\Personal\Participant_18\P18_Improvisation_Personal.csv,51,0,0,20,0,12,34,0,4
P19_Improvisation_Fixed,48,48,47,43,33,0.9148936170212766,0.8958333333333334,0.9052631578947369,0.7021276595744681,0.6875,0.6947368421052632,0.7674418604651163,27.944945363128095,15,14,..\..\datasets\AVP_Dataset\AVP_Dataset\Fixed\Participant_19\P19_Improvisation_Fixed.wav,..\..\datasets\AVP_Dataset\AVP_Dataset\Fixed\Participant_19\P19_Improvisation_Fixed.csv,18,0,0,10,0,0,0,0,15
P19_Improvisation_Personal,48,48,34,29,13,0.8529411764705882,0.6041666666666666,0.7073170731707317,0.38235294117647056,0.2708333333333333,0.3170731707317073,0.4482758620689655,33.07295339651153,35,21,..\..\datasets\AVP_Dataset\AVP_Dataset\Personal\Participant_19\P19_Improvisation_Personal.wav,..\..\datasets\AVP_Dataset\AVP_Dataset\Personal\Participant_19\P19_Improvisation_Personal.csv,5,0,0,3,0,12,1,0,8
P1_Improvisation_Fixed,22,22,17,14,6,0.8235294117647058,0.6363636363636364,0.717948717948718,0.35294117647058826,0.2727272727272727,0.30769230769230765,0.42857142857142855,26.342727518626962,16,11,..\..\datasets\AVP_Dataset\AVP_Dataset\Fixed\Participant_1\P1_Improvisation_Fixed.wav,..\..\datasets\AVP_Dataset\AVP_Dataset\Fixed\Participant_1\P1_Improvisation_Fixed.csv,3,0,0,6,0,0,2,0,3
P1_Improvisation_Personal,18,18,16,15,9,0.9375,0.8333333333333334,0.8823529411764706,0.5625,0.5,0.5294117647058824,0.6,25.08238846605881,9,7,..\..\datasets\AVP_Dataset\AVP_Dataset\Personal\Participant_1\P1_Improvisation_Personal.wav,..\..\datasets\AVP_Dataset\AVP_Dataset\Personal\Participant_1\P1_Improvisation_Personal.csv,6,0,0,1,0,0,5,0,3
P20_Improvisation_Fixed,38,38,33,33,25,1.0,0.868421052631579,0.9295774647887324,0.7575757575757576,0.6578947368421053,0.704225352112676,0.7575757575757576,19.45990522509516,13,8,..\..\datasets\AVP_Dataset\AVP_Dataset\Fixed\Participant_20\P20_Improvisation_Fixed.wav,..\..\datasets\AVP_Dataset\AVP_Dataset\Fixed\Participant_20\P20_Improvisation_Fixed.csv,12,0,0,6,0,0,2,0,13
P20_Improvisation_Personal,36,36,35,34,21,0.9714285714285714,0.9444444444444444,0.9577464788732395,0.6,0.5833333333333334,0.591549295774648,0.6176470588235294,21.958116629580886,15,14,..\..\datasets\AVP_Dataset\AVP_Dataset\Personal\Participant_20\P20_Improvisation_Personal.wav,..\..\datasets\AVP_Dataset\AVP_Dataset\Personal\Participant_20\P20_Improvisation_Personal.csv,14,0,0,3,0,10,0,0,7
P21_Improvisation_Fixed,59,59,56,51,34,0.9107142857142857,0.864406779661017,0.8869565217391304,0.6071428571428571,0.576271186440678,0.591304347826087,0.6666666666666666,26.03708144279169,25,22,..\..\datasets\AVP_Dataset\AVP_Dataset\Fixed\Participant_21\P21_Improvisation_Fixed.wav,..\..\datasets\AVP_Dataset\AVP_Dataset\Fixed\Participant_21\P21_Improvisation_Fixed.csv,15,0,0,9,0,4,4,0,19
P21_Improvisation_Personal,115,115,54,54,9,1.0,0.46956521739130436,0.6390532544378699,0.16666666666666666,0.0782608695652174,0.10650887573964497,0.16666666666666666,24.639287793734592,106,45,..\..\datasets\AVP_Dataset\AVP_Dataset\Personal\Participant_21\P21_Improvisation_Personal.wav,..\..\datasets\AVP_Dataset\AVP_Dataset\Personal\Participant_21\P21_Improvisation_Personal.csv,9,0,0,22,0,22,1,0,0
