key,ref_events,ref_events_raw,pred_events,onset_matches,drum_matches,onset_precision,onset_recall,onset_f1,drum_precision,drum_recall,drum_f1,class_accuracy_on_matched_onsets,onset_mae_ms,missed,extra,wav,labels,kick->kick,kick->snare,kick->hihat,snare->kick,snare->snare,snare->hihat,hihat->kick,hihat->snare,hihat->hihat
P10_Improvisation_Fixed,50,50,50,49,46,0.98,0.98,0.98,0.92,0.92,0.92,0.9387755102040817,24.526817524043487,4,4,..\..\datasets\AVP_Dataset\AVP_Dataset\Fixed\Participant_10\P10_Improvisation_Fixed.wav,..\..\datasets\AVP_Dataset\AVP_Dataset\Fixed\Participant_10\P10_Improvisation_Fixed.csv,23,0,0,2,14,0,1,0,9
P10_Improvisation_Personal,51,51,55,48,30,0.8727272727272727,0.9411764705882353,0.9056603773584905,0.5454545454545454,0.5882352941176471,0.5660377358490566,0.625,29.878117926549454,21,25,..\..\datasets\AVP_Dataset\AVP_Dataset\Personal\Participant_10\P10_Improvisation_Personal.wav,..\..\datasets\AVP_Dataset\AVP_Dataset\Personal\Participant_10\P10_Improvisation_Personal.csv,21,1,0,0,2,13,3,1,7
P11_Improvisation_Fixed,62,62,55,54,46,0.9818181818181818,0.8709677419354839,0.923076923076923,0.8363636363636363,0.7419354838709677,0.7863247863247863,0.8518518518518519,20.277147846727377,16,9,..\..\datasets\AVP_Dataset\AVP_Dataset\Fixed\Participant_11\P11_Improvisation_Fixed.wav,..\..\datasets\AVP_Dataset\AVP_Dataset\Fixed\Participant_11\P11_Improvisation_Fixed.csv,26,0,0,1,15,0,6,1,5
P11_Improvisation_Personal,81,81,82,78,32,0.9512195121951219,0.9629629629629629,0.9570552147239264,0.3902439024390244,0.3950617283950617,0.39263803680981596,0.41025641025641024,24.593871743634292,49,50,..\..\datasets\AVP_Dataset\AVP_Dataset\Personal\Participant_11\P11_Improvisation_Personal.wav,..\..\datasets\AVP_Dataset\AVP_Dataset\Personal\Participant_11\P11_Improvisation_Personal.csv,27,1,0,16,5,0,21,8,0
P12_Improvisation_Fixed,42,42,51,23,22,0.45098039215686275,0.5476190476190477,0.49462365591397855,0.43137254901960786,0.5238095238095238,0.4731182795698925,0.9565217391304348,29.060435821965445,20,29,..\..\datasets\AVP_Dataset\AVP_Dataset\Fixed\Participant_12\P12_Improvisation_Fixed.wav,..\..\datasets\AVP_Dataset\AVP_Dataset\Fixed\Participant_12\P12_Improvisation_Fixed.csv,4,0,0,0,5,1,0,0,13
P12_Improvisation_Personal,31,31,51,26,17,0.5098039215686274,0.8387096774193549,0.6341463414634145,0.3333333333333333,0.5483870967741935,0.4146341463414634,0.6538461538461539,29.54125252040817,14,34,..\..\datasets\AVP_Dataset\AVP_Dataset\Personal\Participant_12\P12_Improvisation_Personal.wav,..\..\datasets\AVP_Dataset\AVP_Dataset\Personal\Participant_12\P12_Improvisation_Personal.csv,7,1,0,0,0,8,0,0,10
P13_Improvisation_Fixed,85,85,82,71,60,0.8658536585365854,0.8352941176470589,0.8502994011976048,0.7317073170731707,0.7058823529411765,0.718562874251497,0.8450704225352113,26.784197228009255,25,22,..\..\datasets\AVP_Dataset\AVP_Dataset\Fixed\Participant_13\P13_Improvisation_Fixed.wav,..\..\datasets\AVP_Dataset\AVP_Dataset\Fixed\Participant_13\P13_Improvisation_Fixed.csv,22,6,0,0,13,3,0,2,25
P13_Improvisation_Personal,34,34,32,32,19,1.0,0.9411764705882353,0.9696969696969697,0.59375,0.5588235294117647,0.5757575757575757,0.59375,20.17857141737544,15,13,..\..\datasets\AVP_Dataset\AVP_Dataset\Personal\Participant_13\P13_Improvisation_Personal.wav,..\..\datasets\AVP_Dataset\AVP_Dataset\Personal\Participant_13\P13_Improvisation_Personal.csv,2,5,0,1,8,2,1,4,9
P14_Improvisation_Fixed,43,43,47,35,29,0.7446808510638298,0.813953488372093,0.7777777777777778,0.6170212765957447,0.6744186046511628,0.6444444444444444,0.8285714285714286,32.881114227136095,14,18,..\..\datasets\AVP_Dataset\AVP_Dataset\Fixed\Participant_14\P14_Improvisation_Fixed.wav,..\..\datasets\AVP_Dataset\AVP_Dataset\Fixed\Participant_14\P14_Improvisation_Fixed.csv,17,2,0,1,7,3,0,0,5
P14_Improvisation_Personal,52,52,53,46,37,0.8679245283018868,0.8846153846153846,0.8761904761904762,0.6981132075471698,0.7115384615384616,0.7047619047619047,0.8043478260869565,15.589076142166935,15,16,..\..\datasets\AVP_Dataset\AVP_Dataset\Personal\Participant_14\P14_Improvisation_Personal.wav,..\..\datasets\AVP_Dataset\AVP_Dataset\Personal\Participant_14\P14_Improvisation_Personal.csv,19,1,0,1,15,0,0,7,3
