key,ref_events,ref_events_raw,pred_events,onset_matches,drum_matches,onset_precision,onset_recall,onset_f1,drum_precision,drum_recall,drum_f1,class_accuracy_on_matched_onsets,onset_mae_ms,missed,extra,wav,labels,kick->kick,kick->snare,kick->hihat,snare->kick,snare->snare,snare->hihat,hihat->kick,hihat->snare,hihat->hihat
P10_Improvisation_Fixed,50,50,50,49,49,0.98,0.98,0.98,0.98,0.98,0.98,1.0,24.526817524043487,1,1,..\..\datasets\AVP_Dataset\AVP_Dataset\Fixed\Participant_10\P10_Improvisation_Fixed.wav,..\..\datasets\AVP_Dataset\AVP_Dataset\Fixed\Participant_10\P10_Improvisation_Fixed.csv,23,0,0,0,16,0,0,0,10
P10_Improvisation_Personal,51,51,55,48,29,0.8727272727272727,0.9411764705882353,0.9056603773584905,0.5272727272727272,0.5686274509803921,0.5471698113207548,0.6041666666666666,29.878117926549454,22,26,..\..\datasets\AVP_Dataset\AVP_Dataset\Personal\Participant_10\P10_Improvisation_Personal.wav,..\..\datasets\AVP_Dataset\AVP_Dataset\Personal\Participant_10\P10_Improvisation_Personal.csv,17,5,0,0,4,11,0,3,8
P11_Improvisation_Fixed,62,62,55,54,46,0.9818181818181818,0.8709677419354839,0.923076923076923,0.8363636363636363,0.7419354838709677,0.7863247863247863,0.8518518518518519,20.277147846727377,16,9,..\..\datasets\AVP_Dataset\AVP_Dataset\Fixed\Participant_11\P11_Improvisation_Fixed.wav,..\..\datasets\AVP_Dataset\AVP_Dataset\Fixed\Participant_11\P11_Improvisation_Fixed.csv,25,1,0,1,15,0,1,5,6
P11_Improvisation_Personal,81,81,82,78,44,0.9512195121951219,0.9629629629629629,0.9570552147239264,0.5365853658536586,0.5432098765432098,0.5398773006134969,0.5641025641025641,24.593871743634292,37,38,..\..\datasets\AVP_Dataset\AVP_Dataset\Personal\Participant_11\P11_Improvisation_Personal.wav,..\..\datasets\AVP_Dataset\AVP_Dataset\Personal\Participant_11\P11_Improvisation_Personal.csv,25,3,0,0,19,2,20,9,0
P12_Improvisation_Fixed,42,42,51,23,23,0.45098039215686275,0.5476190476190477,0.49462365591397855,0.45098039215686275,0.5476190476190477,0.49462365591397855,1.0,29.060435821965445,19,28,..\..\datasets\AVP_Dataset\AVP_Dataset\Fixed\Participant_12\P12_Improvisation_Fixed.wav,..\..\datasets\AVP_Dataset\AVP_Dataset\Fixed\Participant_12\P12_Improvisation_Fixed.csv,4,0,0,0,6,0,0,0,13
P12_Improvisation_Personal,31,31,51,26,16,0.5098039215686274,0.8387096774193549,0.6341463414634145,0.3137254901960784,0.5161290322580645,0.3902439024390244,0.6153846153846154,29.54125252040817,15,35,..\..\datasets\AVP_Dataset\AVP_Dataset\Personal\Participant_12\P12_Improvisation_Personal.wav,..\..\datasets\AVP_Dataset\AVP_Dataset\Personal\Participant_12\P12_Improvisation_Personal.csv,6,2,0,0,0,8,0,0,10
P13_Improvisation_Fixed,85,85,82,71,58,0.8658536585365854,0.8352941176470589,0.8502994011976048,0.7073170731707317,0.6823529411764706,0.6946107784431137,0.8169014084507042,26.784197228009255,27,24,..\..\datasets\AVP_Dataset\AVP_Dataset\Fixed\Participant_13\P13_Improvisation_Fixed.wav,..\..\datasets\AVP_Dataset\AVP_Dataset\Fixed\Participant_13\P13_Improvisation_Fixed.csv,18,10,0,0,15,1,0,2,25
P13_Improvisation_Personal,34,34,32,32,18,1.0,0.9411764705882353,0.9696969696969697,0.5625,0.5294117647058824,0.5454545454545455,0.5625,20.17857141737544,16,14,..\..\datasets\AVP_Dataset\AVP_Dataset\Personal\Participant_13\P13_Improvisation_Personal.wav,..\..\datasets\AVP_Dataset\AVP_Dataset\Personal\Participant_13\P13_Improvisation_Personal.csv,2,5,0,0,8,3,3,3,8
P14_Improvisation_Fixed,43,43,47,35,30,0.7446808510638298,0.813953488372093,0.7777777777777778,0.6382978723404256,0.6976744186046512,0.6666666666666666,0.8571428571428571,32.881114227136095,13,17,..\..\datasets\AVP_Dataset\AVP_Dataset\Fixed\Participant_14\P14_Improvisation_Fixed.wav,..\..\datasets\AVP_Dataset\AVP_Dataset\Fixed\Participant_14\P14_Improvisation_Fixed.csv,14,5,0,0,11,0,0,0,5
P14_Improvisation_Personal,52,52,53,46,43,0.8679245283018868,0.8846153846153846,0.8761904761904762,0.8113207547169812,0.8269230769230769,0.819047619047619,0.9347826086956522,15.589076142166935,9,10,..\..\datasets\AVP_Dataset\AVP_Dataset\Personal\Participant_14\P14_Improvisation_Personal.wav,..\..\datasets\AVP_Dataset\AVP_Dataset\Personal\Participant_14\P14_Improvisation_Personal.csv,19,1,0,0,16,0,0,2,8
P15_Improvisation_Fixed,62,62,66,49,49,0.7424242424242424,0.7903225806451613,0.7656250000000001,0.7424242424242424,0.7903225806451613,0.7656250000000001,1.0,23.203294965662494,13,17,..\..\datasets\AVP_Dataset\AVP_Dataset\Fixed\Participant_15\P15_Improvisation_Fixed.wav,..\..\datasets\AVP_Dataset\AVP_Dataset\Fixed\Participant_15\P15_Improvisation_Fixed.csv,9,0,0,0,13,0,0,0,27
