key,ref_events,ref_events_raw,pred_events,onset_matches,drum_matches,onset_precision,onset_recall,onset_f1,drum_precision,drum_recall,drum_f1,class_accuracy_on_matched_onsets,onset_mae_ms,missed,extra,wav,labels,kick->kick,kick->snare,kick->hihat,snare->kick,snare->snare,snare->hihat,hihat->kick,hihat->snare,hihat->hihat
WaveDrum02_01#HH,28,28,28,28,0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,14.807256235827742,28,28,..\..\datasets\IDMT-SMT-DRUMS-V2\audio\WaveDrum02_01#HH.wav,..\..\datasets\IDMT-SMT-DRUMS-V2\annotation_svl\WaveDrum02_01#HH.svl,0,0,0,0,0,0,28,0,0
WaveDrum02_01#KD,15,15,15,15,15,1.0,1.0,1.0,1.0,1.0,1.0,1.0,10.628873771730825,0,0,..\..\datasets\IDMT-SMT-DRUMS-V2\audio\WaveDrum02_01#KD.wav,..\..\datasets\IDMT-SMT-DRUMS-V2\annotation_svl\WaveDrum02_01#KD.svl,15,0,0,0,0,0,0,0,0
WaveDrum02_01#SD,14,14,14,14,0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,10.236475542597974,14,14,..\..\datasets\IDMT-SMT-DRUMS-V2\audio\WaveDrum02_01#SD.wav,..\..\datasets\IDMT-SMT-DRUMS-V2\annotation_svl\WaveDrum02_01#SD.svl,0,0,0,14,0,0,0,0,0
WaveDrum02_02#HH,24,24,24,24,0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,14.207294028722645,24,24,..\..\datasets\IDMT-SMT-DRUMS-V2\audio\WaveDrum02_02#HH.wav,..\..\datasets\IDMT-SMT-DRUMS-V2\annotation_svl\WaveDrum02_02#HH.svl,0,0,0,0,0,0,24,0,0
WaveDrum02_02#KD,12,12,13,11,11,0.8461538461538461,0.9166666666666666,0.8799999999999999,0.8461538461538461,0.9166666666666666,0.8799999999999999,1.0,10.87404658833217,1,2,..\..\datasets\IDMT-SMT-DRUMS-V2\audio\WaveDrum02_02#KD.wav,..\..\datasets\IDMT-SMT-DRUMS-V2\annotation_svl\WaveDrum02_02#KD.svl,11,0,0,0,0,0,0,0,0
WaveDrum02_02#SD,12,12,12,12,0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,9.739229024943183,12,12,..\..\datasets\IDMT-SMT-DRUMS-V2\audio\WaveDrum02_02#SD.wav,..\..\datasets\IDMT-SMT-DRUMS-V2\annotation_svl\WaveDrum02_02#SD.svl,0,0,0,12,0,0,0,0,0
WaveDrum02_03#HH,24,24,24,24,0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,14.334845049130587,24,24,..\..\datasets\IDMT-SMT-DRUMS-V2\audio\WaveDrum02_03#HH.wav,..\..\datasets\IDMT-SMT-DRUMS-V2\annotation_svl\WaveDrum02_03#HH.svl,0,0,0,0,0,0,24,0,0
WaveDrum02_03#KD,12,12,12,12,12,1.0,1.0,1.0,1.0,1.0,1.0,1.0,14.306500377928895,0,0,..\..\datasets\IDMT-SMT-DRUMS-V2\audio\WaveDrum02_03#KD.wav,..\..\datasets\IDMT-SMT-DRUMS-V2\annotation_svl\WaveDrum02_03#KD.svl,12,0,0,0,0,0,0,0,0
WaveDrum02_03#SD,12,12,12,12,0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,9.363189720332574,12,12,..\..\datasets\IDMT-SMT-DRUMS-V2\audio\WaveDrum02_03#SD.wav,..\..\datasets\IDMT-SMT-DRUMS-V2\annotation_svl\WaveDrum02_03#SD.svl,0,0,0,12,0,0,0,0,0
WaveDrum02_04#HH,51,51,48,48,0,1.0,0.9411764705882353,0.9696969696969697,0.0,0.0,0.0,0.0,11.562263794406642,51,48,..\..\datasets\IDMT-SMT-DRUMS-V2\audio\WaveDrum02_04#HH.wav,..\..\datasets\IDMT-SMT-DRUMS-V2\annotation_svl\WaveDrum02_04#HH.svl,0,0,0,0,0,0,48,0,0
WaveDrum02_04#KD,21,21,18,18,18,1.0,0.8571428571428571,0.923076923076923,1.0,0.8571428571428571,0.923076923076923,1.0,14.186192995716734,3,0,..\..\datasets\IDMT-SMT-DRUMS-V2\audio\WaveDrum02_04#KD.wav,..\..\datasets\IDMT-SMT-DRUMS-V2\annotation_svl\WaveDrum02_04#KD.svl,18,0,0,0,0,0,0,0,0
WaveDrum02_04#SD,20,20,12,12,0,1.0,0.6,0.7499999999999999,0.0,0.0,0.0,0.0,14.45956160241881,20,12,..\..\datasets\IDMT-SMT-DRUMS-V2\audio\WaveDrum02_04#SD.wav,..\..\datasets\IDMT-SMT-DRUMS-V2\annotation_svl\WaveDrum02_04#SD.svl,0,0,0,12,0,0,0,0,0
WaveDrum02_05#HH,48,48,41,40,0,0.975609756097561,0.8333333333333334,0.8988764044943819,0.0,0.0,0.0,0.0,12.007369614512527,48,41,..\..\datasets\IDMT-SMT-DRUMS-V2\audio\WaveDrum02_05#HH.wav,..\..\datasets\IDMT-SMT-DRUMS-V2\annotation_svl\WaveDrum02_05#HH.svl,0,0,0,0,0,0,40,0,0
WaveDrum02_05#KD,20,20,17,16,16,0.9411764705882353,0.8,0.8648648648648648,0.9411764705882353,0.8,0.8648648648648648,1.0,13.48214285714307,4,1,..\..\datasets\IDMT-SMT-DRUMS-V2\audio\WaveDrum02_05#KD.wav,..\..\datasets\IDMT-SMT-DRUMS-V2\annotation_svl\WaveDrum02_05#KD.svl,16,0,0,0,0,0,0,0,0
WaveDrum02_05#SD,19,19,11,11,0,1.0,0.5789473684210527,0.7333333333333334,0.0,0.0,0.0,0.0,14.265099979385733,19,11,..\..\datasets\IDMT-SMT-DRUMS-V2\audio\WaveDrum02_05#SD.wav,..\..\datasets\IDMT-SMT-DRUMS-V2\annotation_svl\WaveDrum02_05#SD.svl,0,0,0,11,0,0,0,0,0
