key,ref_events,ref_events_raw,pred_events,onset_matches,drum_matches,onset_precision,onset_recall,onset_f1,drum_precision,drum_recall,drum_f1,class_accuracy_on_matched_onsets,onset_mae_ms,missed,extra,wav,labels,kick->kick,kick->snare,kick->hihat,snare->kick,snare->snare,snare->hihat,hihat->kick,hihat->snare,hihat->hihat
RealDrum01_00#MIX,59,86,49,49,25,1.0,0.8305084745762712,0.9074074074074074,0.5102040816326531,0.423728813559322,0.46296296296296297,0.5102040816326531,13.444371743255143,34,24,..\..\datasets\IDMT-SMT-DRUMS-V2\audio\RealDrum01_00#MIX.wav,..\..\datasets\IDMT-SMT-DRUMS-V2\annotation_xml\RealDrum01_00#MIX.xml,0,20,0,0,7,4,0,5,13
RealDrum01_01#MIX,54,78,50,50,27,1.0,0.9259259259259259,0.9615384615384615,0.54,0.5,0.5192307692307693,0.54,12.53358049886649,27,23,..\..\datasets\IDMT-SMT-DRUMS-V2\audio\RealDrum01_01#MIX.wav,..\..\datasets\IDMT-SMT-DRUMS-V2\annotation_xml\RealDrum01_01#MIX.xml,0,12,5,0,6,4,0,3,20
RealDrum01_02#MIX,81,97,57,56,41,0.9824561403508771,0.691358024691358,0.8115942028985507,0.7192982456140351,0.5061728395061729,0.5942028985507246,0.7321428571428571,13.846118399740945,40,16,..\..\datasets\IDMT-SMT-DRUMS-V2\audio\RealDrum01_02#MIX.wav,..\..\datasets\IDMT-SMT-DRUMS-V2\annotation_xml\RealDrum01_02#MIX.xml,0,10,0,0,7,0,0,12,27
RealDrum01_03#MIX,52,86,46,46,20,1.0,0.8846153846153846,0.9387755102040816,0.43478260869565216,0.38461538461538464,0.40816326530612246,0.43478260869565216,11.061643497978988,32,26,..\..\datasets\IDMT-SMT-DRUMS-V2\audio\RealDrum01_03#MIX.wav,..\..\datasets\IDMT-SMT-DRUMS-V2\annotation_xml\RealDrum01_03#MIX.xml,0,9,13,0,10,5,0,1,8
RealDrum01_04#MIX,88,100,61,61,45,1.0,0.6931818181818182,0.8187919463087248,0.7377049180327869,0.5113636363636364,0.6040268456375839,0.7377049180327869,17.569687335043195,43,16,..\..\datasets\IDMT-SMT-DRUMS-V2\audio\RealDrum01_04#MIX.wav,..\..\datasets\IDMT-SMT-DRUMS-V2\annotation_xml\RealDrum01_04#MIX.xml,0,8,2,0,4,1,0,13,33
RealDrum01_05#MIX,81,104,64,64,26,1.0,0.7901234567901234,0.8827586206896552,0.40625,0.32098765432098764,0.3586206896551724,0.40625,18.643596053004625,55,38,..\..\datasets\IDMT-SMT-DRUMS-V2\audio\RealDrum01_05#MIX.wav,..\..\datasets\IDMT-SMT-DRUMS-V2\annotation_xml\RealDrum01_05#MIX.xml,0,8,1,0,18,0,0,31,6
RealDrum01_06#MIX,77,105,63,63,30,1.0,0.8181818181818182,0.9,0.47619047619047616,0.38961038961038963,0.42857142857142855,0.47619047619047616,15.779042112083104,47,33,..\..\datasets\IDMT-SMT-DRUMS-V2\audio\RealDrum01_06#MIX.wav,..\..\datasets\IDMT-SMT-DRUMS-V2\annotation_xml\RealDrum01_06#MIX.xml,10,0,14,19,0,4,0,0,16
RealDrum01_07#MIX,77,116,70,70,29,1.0,0.9090909090909091,0.9523809523809523,0.4142857142857143,0.37662337662337664,0.3945578231292517,0.4142857142857143,14.518377486232554,48,41,..\..\datasets\IDMT-SMT-DRUMS-V2\audio\RealDrum01_07#MIX.wav,..\..\datasets\IDMT-SMT-DRUMS-V2\annotation_xml\RealDrum01_07#MIX.xml,0,9,14,0,4,17,0,1,25
RealDrum01_08#MIX,85,122,75,75,43,1.0,0.8823529411764706,0.9375,0.5733333333333334,0.5058823529411764,0.5375,0.5733333333333334,14.538547301587117,42,32,..\..\datasets\IDMT-SMT-DRUMS-V2\audio\RealDrum01_08#MIX.wav,..\..\datasets\IDMT-SMT-DRUMS-V2\annotation_xml\RealDrum01_08#MIX.xml,0,7,19,0,12,8,0,3,26
RealDrum01_09#MIX,80,107,66,66,38,1.0,0.825,0.9041095890410958,0.5757575757575758,0.475,0.5205479452054794,0.5757575757575758,17.499954511097393,42,28,..\..\datasets\IDMT-SMT-DRUMS-V2\audio\RealDrum01_09#MIX.wav,..\..\datasets\IDMT-SMT-DRUMS-V2\annotation_xml\RealDrum01_09#MIX.xml,0,22,1,0,14,0,0,9,20
