key,ref_notes,pred_notes,pitch_model_corrections,split_model_corrections,offset_model_corrections,cache_hit,matches,missed,extra,precision,recall,f1,note_accuracy,onset_matches,onset_missed,onset_extra,missed_onset,extra_onset,wrong_pitch,bad_offset,merged_notes,false_split,octave_error,onset_precision,onset_recall,onset_f1,onset_only_mae_ms,onset_pitch_acc,onset_pitch_mae_st,onset_offset_acc,onset_mae_ms,offset_mae_ms,duration_mae_ms,pitch_mae_st,global_shift_st,time_shift_ms,frame_pitch_acc,frame_voice_recall,frame_false_alarm,wav,midi,missed_preview,extra_preview,onset_missed_preview,onset_extra_preview
M04_0010_0001_2,24,25,0,0,0,1,21,3,4,0.84,0.875,0.8571428571428572,0.875,22,2,3,2,3,0,1,0,1,0,0.88,0.9166666666666666,0.8979591836734694,23.82513636363654,1.0,0.0,0.9545454545454546,24.003285714285866,34.690000000000204,38.39490476190485,0.0,12,-175.7629999999999,0.9313929313929314,0.9776422764227642,1.0,C:\Users\jlion\Documents\Humtrack\datasets\HumTrans\all_wav.zip!wav_data_sync_with_midi/M04_0010_0001_2.wav,C:\Users\jlion\Documents\Humtrack\datasets\HumTrans\all_midi.zip!midi_data/M04_0010_0001_2.mid,E4 E4 C4,E3 E3 C3 C3,E4 E4,E3 E3 C3
M04_0023_0001_1,29,30,0,0,0,1,21,8,9,0.7,0.7241379310344828,0.711864406779661,0.7241379310344828,28,1,2,1,2,1,6,0,0,0,0.9333333333333333,0.9655172413793104,0.9491525423728815,25.45392857142871,0.9642857142857143,0.03571428571428571,0.75,23.728380952381137,34.254285714285665,33.159619047619245,0.0,12,-63.96100000000038,0.9559255631733594,0.8487115544472152,0.7560975609756098,C:\Users\jlion\Documents\Humtrack\datasets\HumTrans\all_wav.zip!wav_data_sync_with_midi/M04_0023_0001_1.wav,C:\Users\jlion\Documents\Humtrack\datasets\HumTrans\all_midi.zip!midi_data/M04_0023_0001_1.mid,C5 E5 D5 C5 D5 D5 C5 C5,B3 F4 E4 D4 C4 D4 D4 C4,C5,B3 E4
M04_0025_0001_1,15,16,0,0,0,1,11,4,5,0.6875,0.7333333333333333,0.7096774193548386,0.7333333333333333,13,2,3,2,3,1,2,0,0,0,0.8125,0.8666666666666667,0.8387096774193549,13.979846153846168,0.9230769230769231,0.15384615384615385,0.7692307692307693,21.965181818181755,35.93572727272729,44.35454545454553,0.0,12,-122.63599999999997,0.9415730337078652,0.9137577002053389,0.7,C:\Users\jlion\Documents\Humtrack\datasets\HumTrans\all_wav.zip!wav_data_sync_with_midi/M04_0025_0001_1.wav,C:\Users\jlion\Documents\Humtrack\datasets\HumTrans\all_midi.zip!midi_data/M04_0025_0001_1.mid,E4 G4 G4 C4,E3 G3 D4 G3 C3,E4 G4,E3 G3 C4
M04_0026_0002_2,17,18,0,0,0,1,15,2,3,0.8333333333333334,0.8823529411764706,0.8571428571428571,0.8823529411764706,17,0,1,0,1,0,2,0,1,0,0.9444444444444444,1.0,0.9714285714285714,14.442411764705803,1.0,0.0,0.8823529411764706,12.536466666666634,18.78836666666673,24.522833333333345,0.0,12,-76.44549999999994,0.9761194029850746,0.9103260869565217,0.75,C:\Users\jlion\Documents\Humtrack\datasets\HumTrans\all_wav.zip!wav_data_sync_with_midi/M04_0026_0002_2.wav,C:\Users\jlion\Documents\Humtrack\datasets\HumTrans\all_midi.zip!midi_data/M04_0026_0002_2.mid,C4 C4,C3 C3 C3,,C3
M04_0029_0001_1_D,29,27,0,0,0,1,20,9,7,0.7407407407407407,0.6896551724137931,0.7142857142857143,0.6896551724137931,26,3,1,3,1,4,3,0,0,0,0.9629629629629629,0.896551724137931,0.9285714285714286,27.55169230769237,0.8461538461538461,0.19230769230769232,0.8461538461538461,31.605400000000067,25.239999999999995,36.417799999999986,0.0,12,-106.20099999999954,0.845691382765531,0.9257884972170687,0.0,C:\Users\jlion\Documents\Humtrack\datasets\HumTrans\all_wav.zip!wav_data_sync_with_midi/M04_0029_0001_1_D.wav,C:\Users\jlion\Documents\Humtrack\datasets\HumTrans\all_midi.zip!midi_data/M04_0029_0001_1_D.mid,G3 C4 C4 E4 D4 D4 F4 E4,C3 D3 D3 E3 D#3 A#2 D3,G3 C4 D4,A2
M04_0034_0002_1_D,25,25,0,0,0,1,19,6,6,0.76,0.76,0.76,0.76,24,1,1,1,1,4,1,0,1,0,0.96,0.96,0.96,30.640749999999983,0.8333333333333334,0.16666666666666666,0.9166666666666666,30.80242105263155,28.515473684210427,34.45568421052602,0.0,12,-96.54300000000005,0.7934560327198364,0.978,0.0,C:\Users\jlion\Documents\Humtrack\datasets\HumTrans\all_wav.zip!wav_data_sync_with_midi/M04_0034_0002_1_D.wav,C:\Users\jlion\Documents\Humtrack\datasets\HumTrans\all_midi.zip!midi_data/M04_0034_0002_1_D.mid,D#4 D4 D#4 D#4 D#4 D#4,D3 D3 D3 D3 D3 D#3,D#4,D#3
M04_0035_0001_1_D,22,22,0,0,0,1,19,3,3,0.8636363636363636,0.8636363636363636,0.8636363636363636,0.8636363636363636,22,0,0,0,0,2,1,0,0,0,1.0,1.0,1.0,11.302681818181807,0.9090909090909091,0.09090909090909091,0.9545454545454546,10.941736842105257,20.435842105263117,19.43200000000007,0.0,12,-134.625,0.8299120234604106,0.9093333333333333,0.0,C:\Users\jlion\Documents\Humtrack\datasets\HumTrans\all_wav.zip!wav_data_sync_with_midi/M04_0035_0001_1_D.wav,C:\Users\jlion\Documents\Humtrack\datasets\HumTrans\all_midi.zip!midi_data/M04_0035_0001_1_D.mid,C5 G4 C4,B3 G3 B2,,
M04_0037_0001_1_D,30,33,0,0,0,1,23,7,10,0.696969696969697,0.7666666666666667,0.7301587301587302,0.7666666666666667,30,0,3,0,3,4,3,0,2,0,0.9090909090909091,1.0,0.9523809523809523,41.943033333333176,0.8666666666666667,0.16666666666666666,0.8666666666666667,41.12126086956497,38.91569565217377,41.50365217391295,0.0,12,-82.8319999999998,0.8114754098360656,0.8937728937728938,0.0,C:\Users\jlion\Documents\Humtrack\datasets\HumTrans\all_wav.zip!wav_data_sync_with_midi/M04_0037_0001_1_D.wav,C:\Users\jlion\Documents\Humtrack\datasets\HumTrans\all_midi.zip!midi_data/M04_0037_0001_1_D.mid,G4 C5 G4 F4 D4 F4 D4,F#3 C4 G3 F#3 E3 D3 E3 C3,,F#3 C#3 D3
M04_0039_0002_1_D,34,35,0,0,0,1,23,11,12,0.6571428571428571,0.6764705882352942,0.6666666666666666,0.6764705882352942,32,2,3,2,3,3,6,1,1,0,0.9142857142857143,0.9411764705882353,0.9275362318840579,18.94367187500001,0.90625,0.09375,0.8125,13.968717391304352,19.057934782608783,22.552000000000106,0.0,12,-110.7784999999999,0.8735440931780366,0.9010494752623688,0.0,C:\Users\jlion\Documents\Humtrack\datasets\HumTrans\all_wav.zip!wav_data_sync_with_midi/M04_0039_0002_1_D.wav,C:\Users\jlion\Documents\Humtrack\datasets\HumTrans\all_midi.zip!midi_data/M04_0039_0002_1_D.mid,C4 C4 C4 C4 C4 F4 A4 B4,C3 B2 C3 B2 C3 B2 E3 A3,C4 A4,B2 B2 A3
M04_0048_0001_1,39,46,0,0,0,1,28,11,18,0.6086956521739131,0.717948717948718,0.6588235294117647,0.717948717948718,37,2,9,2,9,7,5,0,1,0,0.8043478260869565,0.9487179487179487,0.8705882352941177,21.81824324324331,0.8108108108108109,0.2702702702702703,0.7567567567567568,33.00646428571441,21.833500000000363,33.79139285714287,0.0,12,-75.23399999999958,0.8568353067814855,0.9179841897233202,0.18691588785046728,C:\Users\jlion\Documents\Humtrack\datasets\HumTrans\all_wav.zip!wav_data_sync_with_midi/M04_0048_0001_1.wav,C:\Users\jlion\Documents\Humtrack\datasets\HumTrans\all_midi.zip!midi_data/M04_0048_0001_1.mid,F#5 D5 E5 C#5 A4 A4 E5 G5,E3 F4 C#4 D4 D3 D4 E4 C#4,A4 E5,E3 D4 E3 E4 C#4 F#4 A3 G4
