key,ref_notes,pred_notes,pitch_model_corrections,split_model_corrections,offset_model_corrections,cache_hit,matches,missed,extra,precision,recall,f1,note_accuracy,onset_matches,onset_missed,onset_extra,missed_onset,extra_onset,wrong_pitch,bad_offset,merged_notes,false_split,octave_error,onset_precision,onset_recall,onset_f1,onset_only_mae_ms,onset_pitch_acc,onset_pitch_mae_st,onset_offset_acc,onset_mae_ms,offset_mae_ms,duration_mae_ms,pitch_mae_st,global_shift_st,time_shift_ms,frame_pitch_acc,frame_voice_recall,frame_false_alarm,wav,midi,missed_preview,extra_preview,onset_missed_preview,onset_extra_preview
M04_0010_0001_2,24,25,0,0,0,1,17,7,8,0.68,0.7083333333333334,0.6938775510204083,0.7083333333333334,23,1,2,1,2,5,1,0,1,0,0.92,0.9583333333333334,0.9387755102040817,23.02269565217408,0.782608695652174,0.2608695652173913,0.9565217391304348,23.58223529411778,26.463294117647116,35.360823529411704,0.0,12,-175.7629999999999,0.7401247401247402,0.9776422764227642,1.0,C:\Users\jlion\Documents\Humtrack\datasets\HumTrans\all_wav.zip!wav_data_sync_with_midi/M04_0010_0001_2.wav,C:\Users\jlion\Documents\Humtrack\datasets\HumTrans\all_midi.zip!midi_data/M04_0010_0001_2.mid,E4 E4 E4 E4 D4 E4 C4,D#3 D#3 D#3 D#3 C3 D#3 C3 C3,E4,D#3 C3
M04_0023_0001_1,29,30,0,0,0,1,21,8,9,0.7,0.7241379310344828,0.711864406779661,0.7241379310344828,28,1,2,1,2,1,6,0,0,0,0.9333333333333333,0.9655172413793104,0.9491525423728815,25.45392857142871,0.9642857142857143,0.03571428571428571,0.75,23.728380952381137,34.254285714285665,33.159619047619245,0.0,12,-63.96100000000038,0.9549461312438785,0.8487115544472152,0.7560975609756098,C:\Users\jlion\Documents\Humtrack\datasets\HumTrans\all_wav.zip!wav_data_sync_with_midi/M04_0023_0001_1.wav,C:\Users\jlion\Documents\Humtrack\datasets\HumTrans\all_midi.zip!midi_data/M04_0023_0001_1.mid,C5 E5 D5 C5 D5 D5 C5 C5,B3 F4 E4 D4 C4 D4 D4 C4,C5,B3 E4
M04_0025_0001_1,15,17,0,0,0,1,10,5,7,0.5882352941176471,0.6666666666666666,0.625,0.6666666666666666,13,2,4,2,4,1,3,0,1,0,0.7647058823529411,0.8666666666666667,0.8125,13.484692307692319,0.9230769230769231,0.07692307692307693,0.6923076923076923,23.72500000000004,22.75300000000002,34.79550000000002,0.0,12,-125.85449999999997,0.9415730337078652,0.9137577002053389,0.7,C:\Users\jlion\Documents\Humtrack\datasets\HumTrans\all_wav.zip!wav_data_sync_with_midi/M04_0025_0001_1.wav,C:\Users\jlion\Documents\Humtrack\datasets\HumTrans\all_midi.zip!midi_data/M04_0025_0001_1.mid,C4 E4 G4 G4 C4,C3 C3 E3 G3 C#4 G3 C3,E4 G4,C3 E3 G3 C4
M04_0026_0002_2,17,17,0,0,0,1,15,2,2,0.8823529411764706,0.8823529411764706,0.8823529411764706,0.8823529411764706,17,0,0,0,0,0,2,0,0,0,1.0,1.0,1.0,14.442411764705883,1.0,0.0,0.8823529411764706,12.278000000000018,20.121866666666605,24.39359999999995,0.0,12,-74.5070000000001,0.9731343283582089,0.9103260869565217,0.75,C:\Users\jlion\Documents\Humtrack\datasets\HumTrans\all_wav.zip!wav_data_sync_with_midi/M04_0026_0002_2.wav,C:\Users\jlion\Documents\Humtrack\datasets\HumTrans\all_midi.zip!midi_data/M04_0026_0002_2.mid,C4 C4,C3 C3,,
M04_0029_0001_1_D,29,27,0,0,0,1,21,8,6,0.7777777777777778,0.7241379310344828,0.75,0.7241379310344828,26,3,1,3,1,3,3,0,0,0,0.9629629629629629,0.896551724137931,0.9285714285714286,28.007615384615388,0.8846153846153846,0.15384615384615385,0.8846153846153846,32.543166666666664,24.428690476190543,36.85447619047618,0.0,12,-99.86149999999971,0.8577154308617234,0.9257884972170687,0.0,C:\Users\jlion\Documents\Humtrack\datasets\HumTrans\all_wav.zip!wav_data_sync_with_midi/M04_0029_0001_1_D.wav,C:\Users\jlion\Documents\Humtrack\datasets\HumTrans\all_midi.zip!midi_data/M04_0029_0001_1_D.mid,G3 C4 C4 E4 D4 D4 F4 D4,C3 D3 D3 E3 A#2 D3,G3 C4 D4,A2
M04_0034_0002_1_D,25,26,0,0,0,1,20,5,6,0.7692307692307693,0.8,0.7843137254901961,0.8,25,0,1,0,1,5,0,0,0,0,0.9615384615384616,1.0,0.9803921568627451,30.10352000000007,0.8,0.2,0.96,29.373350000000084,26.65745000000002,33.552399999999984,0.0,12,-105.8429999999999,0.8586065573770492,0.976,0.0,C:\Users\jlion\Documents\Humtrack\datasets\HumTrans\all_wav.zip!wav_data_sync_with_midi/M04_0034_0002_1_D.wav,C:\Users\jlion\Documents\Humtrack\datasets\HumTrans\all_midi.zip!midi_data/M04_0034_0002_1_D.mid,G4 D#4 D#4 D#4 D#4,G#3 D3 D3 E3 D3 D#3,,D#3
M04_0035_0001_1_D,22,23,0,0,0,1,19,3,4,0.8260869565217391,0.8636363636363636,0.8444444444444444,0.8636363636363636,22,0,1,0,1,2,1,0,1,0,0.9565217391304348,1.0,0.9777777777777777,11.130613636363746,0.9090909090909091,0.18181818181818182,0.9090909090909091,11.916052631579026,19.41086842105269,20.2018157894737,0.0,12,-131.7284999999999,0.9120234604105572,0.9093333333333333,0.0,C:\Users\jlion\Documents\Humtrack\datasets\HumTrans\all_wav.zip!wav_data_sync_with_midi/M04_0035_0001_1_D.wav,C:\Users\jlion\Documents\Humtrack\datasets\HumTrans\all_midi.zip!midi_data/M04_0035_0001_1_D.mid,E4 G4 C4,D3 G3 A#2 C3,,C3
M04_0037_0001_1_D,30,33,0,0,0,1,22,8,11,0.6666666666666666,0.7333333333333333,0.6984126984126984,0.7333333333333333,30,0,3,0,3,5,3,0,1,0,0.9090909090909091,1.0,0.9523809523809523,41.58896666666655,0.8333333333333334,0.26666666666666666,0.8333333333333334,40.76704545454524,39.899999999999864,37.667545454545454,0.0,12,-85.07649999999978,0.842896174863388,0.8937728937728938,0.0,C:\Users\jlion\Documents\Humtrack\datasets\HumTrans\all_wav.zip!wav_data_sync_with_midi/M04_0037_0001_1_D.wav,C:\Users\jlion\Documents\Humtrack\datasets\HumTrans\all_midi.zip!midi_data/M04_0037_0001_1_D.mid,G4 C5 G4 F4 D4 A4 F4 D4,E3 F3 F#3 C4 G3 E3 D3 G#3,,F3 F#3 D3
M04_0039_0002_1_D,34,33,0,0,0,1,25,9,8,0.7575757575757576,0.7352941176470589,0.746268656716418,0.7352941176470589,32,2,1,2,1,3,4,1,0,0,0.9696969696969697,0.9411764705882353,0.955223880597015,22.714468749999966,0.90625,0.09375,0.875,22.608719999999884,28.851920000000018,30.05519999999993,0.0,12,-108.00799999999988,0.8835274542429284,0.9010494752623688,0.0,C:\Users\jlion\Documents\Humtrack\datasets\HumTrans\all_wav.zip!wav_data_sync_with_midi/M04_0039_0002_1_D.wav,C:\Users\jlion\Documents\Humtrack\datasets\HumTrans\all_midi.zip!midi_data/M04_0039_0002_1_D.mid,C4 C4 F4 A4 B4 G4 A4 E4,C3 E3 A3 C4 G3 A3 D#3 C3,C4 A4,A3
M04_0048_0001_1,39,45,0,0,0,1,29,10,16,0.6444444444444445,0.7435897435897436,0.6904761904761906,0.7435897435897436,37,2,8,2,8,5,5,0,1,0,0.8222222222222222,0.9487179487179487,0.8809523809523809,22.724743243243008,0.8648648648648649,0.24324324324324326,0.7567567567567568,31.20960344827582,22.596500000000205,34.72531034482723,0.0,12,-72.0604999999992,0.9235737351991389,0.9179841897233202,0.17757009345794392,C:\Users\jlion\Documents\Humtrack\datasets\HumTrans\all_wav.zip!wav_data_sync_with_midi/M04_0048_0001_1.wav,C:\Users\jlion\Documents\Humtrack\datasets\HumTrans\all_midi.zip!midi_data/M04_0048_0001_1.mid,F#5 D5 E4 E5 C#5 A4 A4 F#5,E4 F#4 D4 D4 D3 E3 D4 E4,A4 E5,F#4 D4 E3 E4 C#4 F#4 A3 E4
